monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909308
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909309
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909310
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909311
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909312
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909313
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909314
1,January,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909867
2,February,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909868
3,March,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909869
4,April,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909870
5,May,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909871
6,June,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909872
7,July,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909873
8,August,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909874
9,September,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909875
10,October,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909876
11,November,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909877
12,December,Very frequent,Very brief (4 to 48 hours),Frequent,Very brief (4 to 48 hours),0,45,91,NA,NA,NA,NA,NA,NA,17728619,185909878
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908871
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908872
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908873
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908874
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908875
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908876
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908877
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908878
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908879
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908880
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908881
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728537,185908882
4,April,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908883
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728538,185908884
12,December,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908885
2,February,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908886
1,January,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908887
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728538,185908888
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728538,185908889
3,March,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908890
5,May,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908891
11,November,None,,Frequent,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17728538,185908892
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728538,185908893
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728538,185908894
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908895
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908896
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908897
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908898
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908899
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908900
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908901
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908902
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908903
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908904
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908905
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728539,185908906
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908907
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908908
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908909
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908910
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908911
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908912
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908913
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908914
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908915
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908916
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908917
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728540,185908918
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909315
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909316
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909317
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909318
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909319
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909320
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909321
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909322
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909323
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909324
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909325
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728574,185909326
1,January,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909015
2,February,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909016
3,March,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909017
4,April,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909018
5,May,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909019
6,June,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909020
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909021
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909022
9,September,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909023
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909024
11,November,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909025
12,December,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728549,185909026
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909027
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909028
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909029
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909030
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909031
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909032
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909033
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909034
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909035
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909036
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909037
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728550,185909038
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909039
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909040
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909041
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909042
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909043
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909044
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909045
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909046
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909047
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909048
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909049
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728551,185909050
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909615
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909616
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909617
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909618
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909619
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909620
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909621
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909622
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909623
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909624
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909625
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728599,185909626
1,January,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909567
2,February,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909568
3,March,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909569
4,April,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909570
5,May,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909571
6,June,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909572
7,July,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909573
8,August,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909574
9,September,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909575
10,October,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909576
11,November,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909577
12,December,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728595,185909578
8,August,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909051
12,December,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909052
2,February,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909053
1,January,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909054
7,July,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909055
6,June,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909056
3,March,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909057
5,May,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909058
11,November,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909059
10,October,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909060
9,September,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909061
4,April,Frequent,Very long (more than 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,185909062
1,January,None,,Frequent,Very long (more than 30 days),3,8,13,NA,NA,NA,NA,NA,NA,17728600,185909627
3,March,None,,Frequent,Very long (more than 30 days),3,8,13,NA,NA,NA,NA,NA,NA,17728600,185909628
2,February,None,,Frequent,Very long (more than 30 days),3,8,13,NA,NA,NA,NA,NA,NA,17728600,185909629
11,November,None,,Frequent,Very long (more than 30 days),3,8,13,NA,NA,NA,NA,NA,NA,17728600,185909630
12,December,None,,Frequent,Very long (more than 30 days),3,8,13,NA,NA,NA,NA,NA,NA,17728600,185909631
4,April,None,,Frequent,Very long (more than 30 days),1,2,5,NA,NA,NA,NA,NA,NA,17728600,185909632
10,October,None,,Frequent,Very long (more than 30 days),1,2,5,NA,NA,NA,NA,NA,NA,17728600,185909633
5,May,None,,Frequent,Very long (more than 30 days),1,2,5,NA,NA,NA,NA,NA,NA,17728600,185909634
6,June,None,,,,0,2,4,NA,NA,NA,NA,NA,NA,17728600,185909635
7,July,None,,,,0,2,4,NA,NA,NA,NA,NA,NA,17728600,185909636
8,August,None,,,,0,2,4,NA,NA,NA,NA,NA,NA,17728600,185909637
9,September,None,,,,0,2,4,NA,NA,NA,NA,NA,NA,17728600,185909638
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909639
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909640
4,April,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909641
5,May,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909642
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909643
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909644
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909645
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728601,185909646
1,January,None,,Rare,,3,8,13,NA,NA,NA,NA,NA,NA,17728601,185909647
2,February,None,,Rare,,3,8,13,NA,NA,NA,NA,NA,NA,17728601,185909648
3,March,None,,Rare,,3,8,13,NA,NA,NA,NA,NA,NA,17728601,185909649
12,December,None,,Rare,,3,8,13,NA,NA,NA,NA,NA,NA,17728601,185909650
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909651
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909652
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909653
4,April,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909654
5,May,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909655
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909656
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909657
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728602,185909658
1,January,None,,Rare,,2,5,10,NA,NA,NA,NA,NA,NA,17728602,185909659
2,February,None,,Rare,,2,5,10,NA,NA,NA,NA,NA,NA,17728602,185909660
3,March,None,,Rare,,2,5,10,NA,NA,NA,NA,NA,NA,17728602,185909661
12,December,None,,Rare,,2,5,10,NA,NA,NA,NA,NA,NA,17728602,185909662
1,January,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909159
2,February,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909160
3,March,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909161
4,April,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909162
5,May,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909163
6,June,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909164
7,July,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909165
8,August,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909166
9,September,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909167
10,October,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909168
11,November,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909169
12,December,Very frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728561,185909170
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909171
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909172
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909173
5,May,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909174
6,June,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909175
7,July,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909176
8,August,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909177
9,September,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909178
10,October,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909179
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909180
12,December,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909181
1,January,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,185909182
1,January,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909183
2,February,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909184
3,March,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909185
4,April,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909186
5,May,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909187
6,June,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909188
7,July,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909189
8,August,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909190
9,September,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909191
10,October,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909192
11,November,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909193
12,December,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,185909194
1,January,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908823
2,February,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908824
3,March,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908825
4,April,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908826
5,May,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908827
6,June,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908828
7,July,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908829
8,August,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908830
9,September,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908831
10,October,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908832
11,November,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908833
12,December,Frequent,Very long (more than 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17728533,185908834
1,January,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728541,185908919
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728541,185908920
