plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728606,24780039
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,92,NA,NA,93,NA,17728606,24780040
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,80,NA,NA,114,NA,17728613,24780056
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,70,NA,NA,86,NA,17728613,24780057
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,87,NA,NA,129,NA,17728569,24779911
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728569,24779912
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728569,24779913
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728569,24779914
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,70,NA,NA,57,NA,17728569,24779915
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728569,24779916
QUMA3,Quercus marilandica,blackjack oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728558,24779889
QUVI,Quercus virginiana,live oak,,NA,NA,NA,NA,NA,NA,17728558,24779890
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728558,24779891
PIEC2,Pinus echinata,shortleaf pine,"Coile, Schumacher 1953 (530)",NA,NA,NA,NA,NA,NA,17728558,24779892
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728558,24779893
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,70,NA,NA,79,NA,17728558,24779894
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,74,NA,NA,114,NA,17728558,24779895
QUST,Quercus stellata,post oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728558,24779896
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728558,24779897
PRSE2,Prunus serotina,black cherry,Defler 1937 (750),NA,NA,NA,NA,NA,NA,17728558,24779898
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,83,NA,NA,114,NA,17728617,24780058
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728617,24780059
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728617,24780060
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728617,24780061
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728617,24780062
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728597,24779979
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,NA,NA,NA,NA,NA,17728597,24779980
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728597,24779981
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728597,24779982
