recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
02/09/2008 00:00:00,Nontechnical description,Cropland,,Suitability: Not used for agricultural purposes,115531,2008429
02/09/2008 00:00:00,Nontechnical description,Woodland,,Suitability: Not managed for woodland,115531,2008430
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Unsuited 
Management concerns: Very frequent flooding by storm and wind tides",115532,2008431
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Unsuited 
Management concerns: Very frequent flooding by storm and wind tides",115532,2008432
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,,"Native vegetation: Black needlerush, saltmeadow hay, sea lavender, saltgrass, sea oxeye, and three square 
Management measures and considerations: 
This map unit is valuable as nursery areas for many commercial fish species. 
Areas of this map unit form a natural barrier against storm surges and provide a buffer against the inland intrusion of salt water.",115532,2008433
09/11/2008 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level Chowan soils on flood plains. Chowan soils are very deep and poorly drained. They have a loamy surface layer and a muck subsurface. Seasonal high water table is within a depth of 1.0 foot. This map unit is subject to frequent flooding for long duration.

Suitability: Unsuited 
Management concerns: Frequent flooding and wetness
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Chowan soils.
Land Capability Classification: 7w",115533,2008434
09/11/2008 00:00:00,Nontechnical description,Woodland,old,"Suitability: Poorly suited
Productivity: Moderately high 
Native vegetation: Baldcypress, swamp blackgum, water tupelo, Atlantic white-cedar, green ash, and red maple in the overstory; various shrubs and herbaceous plants in the understory 
Management concerns: Flooding, wetness, and low bearing strength 
Management measures and considerations: 
Proper planning for timber harvesting is essential in order to minimize the potential negative impact to soil and water quality. A timber harvest plan should focus on streamside management zones and stream crossings and should include general adherence to all applicable best management practices.
Flooding may damage haul roads.
Flooding restricts the safe use of roads by log trucks.
Soil wetness may limit the use of log trucks.
The low strength interferes with the construction of haul roads and log landings.",115533,2008435
06/02/2014 00:00:00,Map unit description,map unit concept,,"Croatan muck, ponded, 0 to 2 percent slopes   (DMU ID 703736)
The concept for this Croatan MLRA mapunit is: Croatan soils with a muck surface, frequently ponded with a very long duration, 0 to 2 percent slopes, non-flooding, and undrained.

 This map unit was created to combine concepts and map units from 13 NC Coastal Plain counties in MLRA 153A. The new DMU was copied and edited from the original DMU MLRA153A Croatan mk, 0-1% (Rec ID 456633) and links it and two other Croatan DMUs (Rec IDs 530054 and 473951) into the one. The Component Pedon for the new DMU is from the TUD in Jones County (NC103) which is also the Croatan OSD and Jones Co. is one of the counties evaluated in this DMU concept. 3-RIC SSA also has a similar Croatan MU/DMU for MLRA 153A.
 
 There are a few outlyers of Croatan mapunit polygons in Columbus (NC047) and Bladen (NC017) counties that are in MLRA 133A (Southern Coastal Plain). Because of the minimum of acres these mapunit polygons are included in this SDJR mapunit project and no spatial edits are needed at this time.
 
 Croatan soils in this MLRA map unit are very poorly drained organic soils that formed in highly decomposed organic material commonly 41 to 89 cm (16 to 35 inches) thick but ranging to 130 cm (51 inches) and underlain by loamy textured marine and fluvial sediment. The organic material was derived from herbaceous plants and may contain up to 10 percent logs, stumps and other wood fragments. Runoff is very slow to ponded. Permeability is slow to moderately rapid. Slopes are 0 to 2 percent. This map unit is scattered throughout the coastal plain, predominately on broad, flat interstream divides, pocosins, in Carolina bays, and upland depressions.  In two counties, it was described to occur on low stream terraces and floodplains.  In areas where they occur on stream terraces and floodplains, flooding may occur.  Ponding occurs on all units of Croatan, except where drained, and persists for very long durations.  Large areas of these Croatan soils occur in the Green Swamp of Columbus and Brunswick Counties, Angola Bay area in north Pender and south Duplin Counties, Holly Shelter area of Pender County, Hoffman Forest area of south Jones and north Onslow Counties; and in the Croatan National Forest in Jones, Craven, and Carteret Counties. Included soils make up between 10 and 25 percent of the map unit.  Much of the acreage is wooded and supports plant communities that reflect past history of treatment. Native vegetation consists of scattered pond pine with a dense understory of titi, gallberry, huckleberry, southern bayberry, greenbrier, sphagnum moss, redbay, sweetbay, switchcane, and giant cane. Croatan soils also support mixed hardwoods, mainly water and swamp tupelo, southern baldcypress, Atlantic white-cedar, and other hyperphytic species. This unit is used predominately for native woodland and timber plantations.  A small percentage is used for agricultural production.  
 
Slope: 4 of 9 counties used <2% slopes, 3 of 9 used 0-2% slopes, 1 of 9 used 0-1% slopes, and 1 of 9 used <1% slopes. I decided to use 0 to 2 percent slopes to be all inclusive of the slope ranges represented in the counties that were evaluated.
 
Most county manuscripts did not address the drained component of Croatan mapunits. Croatan DMUs in NASIS only have the drained and undrained components and do not have other named components. The project leader for this new MLRA DMU has only the undrained component of Croatan and 2 other named components.

Included soils: 
 Torhunta-mineral
 Lynn Haven-mineral, spodisol
 Leon-mineral, spodisol
 Pamlico-thinner OM, sandy mineral
 Wasda-thinner OM
 Johnston-mucky mineral, floodplain
 Paxville-mineral
 Pantego-mineral
 Murville-sandy mineral, spodisol
 Dare-thicker OM
 Pocomoke-mineral
 Portsmouth-mineral
 Rutlege-mineral
 Bayboro-mineral
 Dorovan-floodplain
 
 Torhunta and Pantego soils were the most commonly named dissimilar inclusions listed and were used as the named DMU components. Torhunta and Pantego soils are both very poorly drained. Torhunta is coarse-loamy and Pantego is fine-loamy and both mostly occur along edges of large Croatan delineations where the organic soils are transitioning back to mineral soils.

Future projects: Croatan soils need to be documented with pedon descriptions and transects. Most Croatan delineations are hard to access because of the dense vegetation but in some places access is available where there are research areas as in Hoffman Forest, or Wildlife Resources Commission Game Lands, and various paper company lands. Because of current land use for most of this mapunit I catagorize this as low priority for future projects. Sample collection for full characterization should be done for the OSD site in Jones County, (NC103).
",115534,2008436
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Unsuited 
Management concerns: Exposure to salt spray, flooding with salt water, and droughtiness",115535,2008437
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Unsuited 
Management concerns: Exposure to salt spray, flooding with salt water, and droughtiness",115535,2008438
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,,"Native vegetation: Bitter panicum, saltmeadow hay, and silverlead croton in areas that receive high amounts of salt spray; live oak, red cedar, waxmyrtle, largeleaf pennywort, seaside goldenrod, yaupon holly, baccharis, blueberry, wild olive, stunted pine, seacoast bluestem, seashore mallow, marshelder, and searocket in areas that are less affected by salt spray",115535,2008439
03/16/2009 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level Dorovan soils on flood plains. Dorovan soils are very deep and poorly drained. They have a very thick muck surface layer and a loamy and sandy subsurface. Seasonal high water table is within a depth of 1.0 foot. This map unit is subject to frequent flooding and ponding for long duration.

Pasture and hayland
Suitability: Unsuited
Management concerns: Flooding and wetness
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Dorovan soils.
Land Capability Classification: 7w",115536,2008440
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Productivity: Moderately high 
Native vegetation: Baldcypress, swamp blackgum, water tupelo, Atlantic white-cedar, green ash, and red maple in the overstory; various shrubs and herbaceous plants in the understory 
Management concerns: Flooding, wetness, and low bearing strength 
Management measures and considerations: 
The use of equipment should be restricted during wet periods.",115536,2008441
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Unsuited 
Management concerns: Wetness and exposure to salt spray",115537,2008442
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Unsuited 
Management concerns: Wetness and exposure to salt spray",115537,2008443
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,,"Native vegetation: Saltmeadow cordgrass and waxmyrtle in areas affected by salt spray; red cedar, baccharis, black willow, three square, cattail, sawgrass, blueberry, wild olive, and Virginia creeper in areas less affected by salt spray",115537,2008444
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited 
Productivity: High 
Native vegetation: Loblolly pine, red maple, sweetgum, water oak, yellow-poplar, white oak, southern red oak, dogwood, and swamp blackgum in the overstory; American holly, sourwood, waxmyrtle, highbush blueberry, and sweet pepperbush in the understory 
Management concerns: Wetness 
Management measures and considerations: The use of equipment should be restricted during wet periods.",115538,2008445
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Well suited 
Major crops: Corn, cotton, tobacco, soybeans, and wheat 
Management concerns: Wetness
Management measures and considerations: 
Cultivation may be delayed during wet periods.
Artificial drainage systems may be needed to remove excess water.
Planting winter cover crops, managing crop residue, and conservation tillage help to maintain tilth and conserve moisture.",115538,2008446
10/07/2014 00:00:00,Map unit description,map unit concept,,"The MLRA 153A (and 133A) Goldsboro fine sandy loam, 0-2% slopes map unit consists of moderately well drained soils with a seasonal high water table between 24 to 36 inches (61-91 cm)

These map units are found on broad, smooth, slightly convex landscapes, often near drainageways in the upper and middle coastal plain. These soils are formed from loamy marine/fluviomarine deposits of the pleistocene era. Landscape position is most often broad flat ridges on interstream divides. Minor soil inclusions are most often Norfolk, Lynchburg and Rains, Foreston, Onslow and Exum. Norfolk is most often found on slightly higher parts of the landscape. Lynchburg and Rains are on slighly lower landscapes and depressions. Foreston, Exum and Onslow occupy similar landscape positons. Foreston is coarser textured, Exum is fine-silty, while Onslow exhibits a Bh horizon.

Goldsboro often patterns in a catena with Norfolk, Lynchburg and Rains, fitting in between Norfolk and Lynchburg in drainage.  Sometimes other soils such as Noboco or other sandier, well drained or excessively well drained soils take the place of Norfolk.  The better drained soils such as Norfolk and Goldsboro are usually found closer to drainage ways, while poorer drained soils exist on the broader, flat landscapes furtherist away from the drainage ways. 
Goldsboros concept is very similar or the same throughout most of the Coastal Plain.  The vast majority of the Coastal Plain was mapped during the period of the early 70s to the mid 80s.  Most of the soil scientist who mapped the Coastal Plain worked under and were trained by Leslie Barnhill.  These soil scientist carried his mapping concepts from one county to the next.   Of those few soil scientist still working, it has been over 25 years since they worked the coastal plain.  This lack of variation of mapping concepts can easily be seen in the individual soil survey manuals.


The Goldsboro component make up about 85 percent of the unit.  Norfolk consists of about 8 persent while Lynchburg is about 7 percent.  The seasonal high water table is usually between 2 and 3 feet.  However, direct observation during the growing season has shown that the water table can be much deeper, and perhaps not within 203 cm at times. Elevation ranges are from near sealevel to about 40 meters. The average slope is about 1 percent, but included are some areas of greater than 2 percent that are of minor extent. Goldsboro soils in these areas are used mainly for cropland, with the remainder mostly used for forest production.The size of the map units range from 15 acres up to 250 acres, depending upon topography. 

The decison to combined all the fine sandy loam Goldsboro counties makes good sense. All the counties are coastal, or near coastal and are adjacent to each other.  The only county contrary is New Hanover, which was not done to modern standards. Horry County SC, or at least part of it, should also be suspect for fine sandy loam surfaces. These two counties would be prime targets for future projects in this regard. The latest legend (2/2007)for Duplin County suggests a Goldsboro fsl, 0-2% unit, which should be included in this project. However, the NASIS data and GIS data for Duplin County currently has all the Goldsboro as a loamy sand surface texture.  Therefore the Goldsboro map units in Duplin county are currently being accounted for in SDJR - MLRA 133A - 153A - 3-NEW Goldsboro loamy sand, 0 to 2 percent slopes.  For this reason, Duplin County has been excluded from this project, at this time.
Also of note is the the fact that New Hanover County is situated directly between two counties in this project. However, New Hanover County is an old survey, not to modern standards and was slated for an update before NRCS re-organized. The New Hanover soil survey did not use Goldsboro in any form. Any update or re-correlation of this survey would most likely include a Goldsboro unit that would fit this project.

Future Projects should probably focus in on two areas.  The soil itself, is fairly well documented.  The only lacking is probably actual water table studies, which I would deem low priority. First priority is general data collection. Many of the surveys were not documented to modern standards with descriptions and transects. For the ones that were, that documentation has been lost or destroyed.  The collection of this data will lead and answer the second Future Project concern, which it what surface textures are found where, and should the fsl surface texture be expanded into additonal counties. This will require sampling and PSA not only from the counties in this Project, but surrounding suspect counties as well.
In additon, the aforementioned Duplin County survey completion, and an update/re-correlation of the New Hanover soil survey may add additional acres to this project.

Goldsboro is one of the most common as well as abundant acreages of map units to be found in the upper and middle coastal plain, from Virginia to Florida and as far west as Mississippi and Arkansas.

There was very little change to no changes made in the stored interps.  The Kw and Kf only changed slightly during calculation.

Lab data is available from the Lincoln Lab Data site for Sampson County NC,(not in this project) and 5 more counties outside MSSO 3-New. 

Notes Used for Generation
Onslow County
Landscape:slightly convex divides
SHWT:2-3ft
Elevation:42-100'
Inclusions:Onslow, Foreston, Craven, Norfolk, Lynchburg
% Inclusions:10
Use:mostly cropland, rest woodland
MU Size:15-100 acrs
Additional:Pleistocene era sediments

Brunswick
Landscape:near drainageways on interstream divides
SHWT:2-3'
Elevation:25-75'
Inclusions:Foreston, onslow, Norfolk, Lynchburg
% Inclusions:15
Use:about half cropland, half woodland
MU Size:2-250 acres
Additional:Pleistocene and Talbot formations

Columbus
Landscape:smooth uplands in south, west and northeast part of county
SHWT:2-3'
Elevation:45-131'
Inclusions:Norfolk, Gritney, Exum, Foreston, Lynchburg, Rains
% Inclusions:20
Use:mostly cropland, rest woodland
MU Size:about 20 acres
Additional:

Pender
Landscape:slightly convex interstream divides near drainageways
SHWT:
Elevation:sea level to 110'
Inclusions:Exum, Foreston, Onslow, Norfolk, Rains
% Inclusions:15
Use:mosly cropland, rest woodland
MU Size:15-200
Additional:


",115539,2008447
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Well suited in drained areas 
Major crops: Corn, soybeans, and wheat 
Management concerns: Wetness 
Management measures and considerations: 
Drainage systems should be installed and maintained. 
The use of equipment should be restricted during wet periods.",115540,2008448
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited in drained areas 
Productivity: High 
Native vegetation: Loblolly pine, red maple, swamp blackgum, sweetgum, willow oak, water oak, swamp chestnut oak, and pond pine in the overstory; titi, waxmyrtle, sweet pepperbush, bitter gallberry, highbush blueberry, fetterbush, switchcane, and other shrubs, vines, and herbaceous plants in the understory 
Management concerns: Wetness and trafficability 
Management measures and considerations: 
Drainage systems should be installed and maintained. 
The use of equipment should be restricted during wet periods.",115540,2008449
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Not used for agriculture due to lack of active farming
Management concerns: Wetness and limited size of areas 
Management measures and considerations: Drainage systems should be installed and maintained.",115541,2008450
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited 
Productivity: High 
Native vegetation: Loblolly pine, red maple, sweetgum, water oak, yellow-poplar, white oak, southern red oak, dogwood, and swamp blackgum in the overstory; American holly, sourwood, waxmyrtle, highbush blueberry, and sweet pepperbush in the understory 
Management concerns: Wetness 
Management measures and considerations: The use of equipment should be restricted during wet periods.",115541,2008451
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Moderately suited 
Productivity: Moderately high 
Native vegetation: Longleaf pine, loblolly pine, post oak, blackjack oak, turkey oak, and bluejack oak in the overstory; huckleberry and threeawn grass in the understory 
Management concerns: Seedling mortality 
Management measures and considerations: 
Rows should not be bedded.",115542,2008452
12/12/2008 00:00:00,Nontechnical description,Cropland,new,"This map unit consists of nearly level to gently sloping Kureb soils on uplands. Kureb soils are very deep and excessively drained. They have a sandy surface layer and a sandy subsoil.

Cropland
Suitability: Poorly suited
Management concerns: Soil blowing, equipment use, droughtiness, leaching of nutrients, and soil fertility
Management measures and considerations:
Resource management systems that include conservation tillage, winter cover crops, crop residue management, and crop rotations which include grasses and legumes help to increase the available water capacity and improve soil fertility.
Leaving the maximum amount of crop residue on the soil surface helps to control soil blowing and conserve soil moisture.
Using equipment with low-pressure tires helps to minimize slippage and rutting caused by the high sand content of the soil.
Using fertilizer in split applications helps to minimize leaching.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximize crop productivity.
Providing supplemental irrigation and selecting crop varieties adapted to droughty conditions help to increase crop production.
Land Capability Classification: 7s",115542,2008453
12/12/2008 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level to gently sloping Kureb soils on uplands. Kureb soils are very deep and excessively drained. They have a sandy surface layer and a sandy subsoil.

Pasture and hayland
Suitability: Suited 
Management concerns: Soil blowing, droughtiness, leaching of nutrients, and soil fertility
Management measures and considerations:
Intensive grazing practices maximize forage utilization and improve forage quality.
Using fertilizer in split applications and according to recommendations based on soil tests helps to minimize leaching of nutrients and maintain fertility.
Land Capability Classification: 7s",115542,2008454
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Unsuited 
Management concerns: Very frequent flooding with brackish water",115543,2008455
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Unsuited 
Management concerns: Very frequent flooding with brackish water",115543,2008456
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,,"Wildlife and fish habitat 
Native vegetation: Black needlerush, saltmeadow hay, saltmarsh cordgrass, sawgrass, big cordgrass, seashore mallow, saltgrass, rose mallow, marshelder, sea oxeye, baccharis, marsh sedge, three square, and narrowleaf cattail 
Management measures and considerations: 
This map unit is valuable as nursery areas for many commercial fish species. 
Areas of this map unit form a natural barrier against storm surges and provide a buffer to the inland intrusion of salt water. Marshes remain stable as sea level rises, filter sediments from creeks and ditches, and have aesthetic value as natural open areas. 
This map unit provides important natural habitat to sea ducks, wading birds, furbearers, and many other wildlife species.",115543,2008457
06/10/2009 00:00:00,Nontechnical description,Cropland,new,"This map unit consists of nearly level Leon soils on upland flats and in depressions. Leon soils are very deep and poorly drained. They have a sandy surface layer and subsoil. Seasonal high water table is within a depth of 1.0 foot.

Cropland
Suitability: Poorly suited
Management concerns: Leaching of plant nutrients, wetness and droughtiness in summer
Management measures and considerations:
The seasonal high water table restricts equipment operation, decreases the viability of crops, and interferes with the planting and harvesting of crops.
Excessive permeability increases the risk of ground-water contamination.
Irrigation may be needed during dry periods.
Blowing sand may damage young plants.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximize crop productivity.
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Leon soils.
Land Capability Classification: 4w",115544,2008458
06/10/2009 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level Leon soils on upland flats and in depressions. Leon soils are very deep and poorly drained. They have a sandy surface layer and subsoil. Seasonal high water table is within a depth of 1.0 foot.

Pasture and hayland
Suitability: Poorly suited
Management concerns: Trafficability, wetness and droughtiness in summer
Management measures and considerations:
The seasonal high water table can affect equipment use, grazing patterns, and viability of grass and legume species.
Preventing overgrazing or preventing grazing when the soil is too wet helps to prevent soil compaction, decreased productivity, and a rough soil surface.
Hayland and pasture should be managed for forage species that are tolerant of excessive wetness.
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Leon soils.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximizes productivity when establishing, maintaining, or renovating hayland and pasture.
Land Capability Classification: 4w",115544,2008459
09/11/2008 00:00:00,Nontechnical description,Woodland,old,"Suitability: Well suited in drained areas 
Productivity: Very high 
Native vegetation: Longleaf pine, loblolly pine, pond pine, water oak, blackgum, and red maple; Waxmyrtle, brackenfern, blueberry, fetterbush, lyonia, bitter gallberry, large gallberry, turkey oak, red bay, sweet bay, threeawn grass, and various other shrubs, vines, and herbaceous plants in the understory 
Management concerns: Wetness, trafficability, seedling mortality, and ditchbanks caving 
Management measures and considerations: 
Drainage systems should be installed and maintained. 
The use of equipment should be restricted during wet periods. 
Bedding helps to reduce seedling mortality rates.",115544,2008460
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,old,"Native vegetation:  Waxmyrtle, brackenfern, blueberry, fetterbush, lyonia, bitter gallberry, large gallberry, turkey oak, red bay sweet bay, threeawn grass, and various other shrubs, vines, and herbaceous plants in the understory",115544,2008461
06/10/2009 00:00:00,Nontechnical description,Cropland,new,"This map unit consists of nearly level Lumbee soils on low stream terraces. Lumbee soils are very deep and poorly drained. They have a loamy surface layer and subsoil that is underlain by sandy material. Seasonal high water table is within a depth of 1.0 foot. They are subject to rare flooding and occasional ponding for brief periods.

Cropland
Suitability: Poorly suited
Management concerns: Wetness and trafficability
Management measures and considerations:
The seasonal high water table restricts equipment operation, decreases the viability of crops, and interferes with the planting and harvesting of crops.
Management of surface water helps to reduce the wetness limitation and improve soil productivity.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximize crop productivity.
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Lumbee soils.
Land Capability Classification: 3w for drained areas; 6w for undrained areas",115545,2008462
06/10/2009 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level Lumbee soils on low stream terraces. Lumbee soils are very deep and poorly drained. They have a loamy surface layer and subsoil that is underlain by sandy material. Seasonal high water table is within a depth of 1.0 foot. They are subject to rare flooding and occasional ponding for brief periods.

Pasture and hayland
Suitability: Poorly suited
Management concerns: Trafficability and wetness
Management measures and considerations:
The seasonal high water table can affect equipment use, grazing patterns, and viability of grass and legume species.
Preventing overgrazing or preventing grazing when the soil is too wet helps to prevent soil compaction, decreased productivity, and a rough soil surface.
Hayland and pasture should be managed for forage species that are tolerant of excessive wetness.
Federal and State regulations protecting wetlands may restrict the use of drainage systems and other alterations to areas of Lumbee soils.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximizes productivity when establishing, maintaining, or renovating hayland and pasture.
Land Capability Classification: 3w for drained areas; 6w for undrained areas",115545,2008463
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited in drained areas 
Productivity: High 
Native vegetation: Loblolly pine, red maple, swamp blackgum, yellow-poplar, sweetgum, willow oak, water oak, swamp chestnut oak, and pond pine in the overstory; titi, waxmyrtle, sweet pepperbush, bitter gallberry, highbush blueberry, fetterbush, switchcane, and other shrubs, vines, and herbaceous plants in the understory 
Management concerns: Wetness and trafficability 
Management measures and considerations: 
Drainage systems should be installed and maintained. 
The use of equipment should be restricted during wet periods.",115545,2008464
