texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
LFS,No ,Yes,Loamy fine sand,51721164,103307769
LFS,No ,Yes,Loamy fine sand,51721165,103307770
LS,No ,No ,Loamy sand,51721165,103307771
SL,No ,No ,Sandy loam,51721166,103307772
FSL,No ,Yes,Fine sandy loam,51721166,103307773
SL,No ,Yes,Sandy loam,51721167,103307774
LS,No ,No ,Loamy sand,51721167,103307775
LFS,No ,No ,Loamy fine sand,51721167,103307776
FS,No ,Yes,Fine sand,51721168,103307777
S,No ,No ,Sand,51721169,103307778
FS,No ,Yes,Fine sand,51721169,103307779
S,No ,No ,Sand,51721170,103307780
FS,No ,Yes,Fine sand,51721170,103307781
S,No ,No ,Sand,51721171,103307782
FS,No ,Yes,Fine sand,51721171,103307783
S,No ,No ,Sand,51721172,103307784
FS,No ,Yes,Fine sand,51721172,103307785
LS,No ,No ,Loamy sand,51721172,103307786
FSL,No ,Yes,Fine sandy loam,51721173,103307787
SL,No ,No ,Sandy loam,51721173,103307788
L,No ,No ,Loam,51721173,103307789
SCL,No ,Yes,Sandy clay loam,51721174,103307790
CL,No ,No ,Clay loam,51721174,103307791
L,No ,No ,Loam,51721174,103307792
LS,No ,Yes,Loamy sand,51721175,103307793
S,No ,No ,Sand,51721175,103307794
LFS,No ,No ,Loamy fine sand,51721175,103307795
FS,No ,No ,Fine sand,51721175,103307796
S,No ,Yes,Sand,51721176,103307797
FS,No ,No ,Fine sand,51721176,103307798
SL,No ,No ,Sandy loam,51721176,103307799
SL,No ,No ,Sandy loam,51720999,103307318
FSL,No ,Yes,Fine sandy loam,51720999,103307319
LS,No ,Yes,Loamy sand,51721000,103307320
S,No ,No ,Sand,51721000,103307321
SL,No ,No ,Sandy loam,51721000,103307322
MK-FSL,No ,Yes,Mucky fine sandy loam,51721001,103307323
MK-L,No ,No ,Mucky loam,51721001,103307324
MK-FSL,No ,Yes,Mucky fine sandy loam,51721002,103307325
MK-L,No ,No ,Mucky loam,51721002,103307326
SL,No ,No ,Sandy loam,51721003,103307327
FSL,No ,Yes,Fine sandy loam,51721003,103307328
LS,No ,Yes,Loamy sand,51721004,103307329
S,No ,No ,Sand,51721004,103307330
SL,No ,No ,Sandy loam,51721004,103307331
FS,No ,Yes,Fine sand,51720965,103307236
LFS,No ,No ,Loamy fine sand,51720965,103307237
S,No ,No ,Sand,51720966,103307238
FS,No ,Yes,Fine sand,51720966,103307239
L,No ,Yes,Loam,51720967,103307240
SL,No ,Yes,Sandy loam,51720968,103307241
LS,No ,No ,Loamy sand,51720968,103307242
S,No ,Yes,Sand,51720969,103307243
S,No ,Yes,Sand,51720970,103307244
S,No ,No ,Sand,51720971,103307245
FS,No ,Yes,Fine sand,51720971,103307246
LS,No ,No ,Loamy sand,51720971,103307247
S,No ,No ,Sand,51720972,103307248
FS,No ,Yes,Fine sand,51720972,103307249
S,No ,No ,Sand,51721058,103307460
FS,No ,Yes,Fine sand,51721058,103307461
FS,No ,Yes,Fine sand,51721059,103307462
S,No ,No ,Sand,51721060,103307463
FS,No ,Yes,Fine sand,51721060,103307464
S,No ,No ,Sand,51721061,103307465
FS,No ,Yes,Fine sand,51721061,103307466
LS,No ,No ,Loamy sand,51721061,103307467
FS,No ,Yes,Fine sand,51721062,103307468
LFS,No ,No ,Loamy fine sand,51721062,103307469
S,No ,No ,Sand,51721063,103307470
FS,No ,Yes,Fine sand,51721063,103307471
SL,No ,Yes,Sandy loam,51721177,103307800
LS,No ,No ,Loamy sand,51721177,103307801
LFS,No ,No ,Loamy fine sand,51721177,103307802
FSL,No ,Yes,Fine sandy loam,51721178,103307803
SL,No ,No ,Sandy loam,51721178,103307804
FSL,No ,Yes,Fine sandy loam,51721179,103307805
SL,No ,No ,Sandy loam,51721179,103307806
SL,No ,No ,Sandy loam,51721180,103307807
FSL,No ,Yes,Fine sandy loam,51721180,103307808
FSL,No ,Yes,Fine sandy loam,51721181,103307809
SL,No ,No ,Sandy loam,51721181,103307810
FSL,No ,Yes,Fine sandy loam,51721182,103307811
SL,No ,No ,Sandy loam,51721182,103307812
SL,No ,No ,Sandy loam,51721183,103307813
FSL,No ,Yes,Fine sandy loam,51721183,103307814
SL,No ,Yes,Sandy loam,51721184,103307815
LS,No ,No ,Loamy sand,51721184,103307816
LFS,No ,No ,Loamy fine sand,51721184,103307817
S,No ,No ,Sand,51721089,103307535
FS,No ,No ,Fine sand,51721089,103307536
LS,No ,Yes,Loamy sand,51721089,103307537
SICL,No ,Yes,Silty clay loam,51721090,103307538
SIC,No ,Yes,Silty clay,51721091,103307539
C,No ,No ,Clay,51721091,103307540
SC,No ,No ,Sandy clay,51721091,103307541
FSL,No ,Yes,Fine sandy loam,51721092,103307542
SC,No ,No ,Sandy clay,51721092,103307543
C,No ,No ,Clay,51721092,103307544
CL,No ,No ,Clay loam,51721092,103307545
SIC,No ,No ,Silty clay,51721092,103307546
SICL,No ,Yes,Silty clay loam,51721093,103307547
SIL,No ,No ,Silt loam,51721093,103307548
L,No ,No ,Loam,51721093,103307549
SIC,No ,Yes,Silty clay,51721094,103307550
C,No ,No ,Clay,51721094,103307551
SC,No ,No ,Sandy clay,51721094,103307552
