recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Shoals component makes up 85 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains, river valleys. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is frequently flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during January, February, March, April, May, November, December. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.   ",17961097,17940761
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Pewamo, low carbonate till component makes up 85 percent of the map unit. Slopes are 0 to 2 percent. This component is on depressions on till plains. The parent material consists of till derived from limestone, sandstone, and shale. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is very poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is frequently ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, May, November, December. Organic matter content in the surface horizon is about 4 percent.  Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.   ",17961051,17940715
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Bennington soil is a minor component.,17961050,17940714
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961049,17940713
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Well drained soils soil is a minor component.,17961022,17940686
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Sloan soil is a minor component.,17961021,17940685
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Gravel below 40 inches soil is a minor component.,17961020,17940684
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Lobdell component makes up 96 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains. The parent material consists of alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 27 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.   ",17961019,17940683
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Shoals soil is a minor component.,17961018,17940682
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Rock outcrops soil is a minor component.,17961009,17940673
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Shoals soil is a minor component.,17961008,17940672
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Alexandria component makes up 50 percent of the map unit. Slopes are 18 to 50 percent. This component is on till plains. The parent material consists of loamy till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 60 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 16 percent.  ",17960977,17940641
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Hennepin component makes up 50 percent of the map unit. Slopes are 18 to 50 percent. This component is on till plains. The parent material consists of till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 7e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 28 percent.  ",17960976,17940640
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Silt or gravel at 3 feet soil is a minor component.,17960879,17940543
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pewamo soil is a minor component.,17960878,17940542
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bennington component makes up 30 percent of the map unit. Slopes are 0 to 2 percent. This component is on knolls on till plains. The parent material consists of till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during January, February, March, April, May, November, December. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 5 percent.  ",17960877,17940541
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Condit component makes up 50 percent of the map unit. Slopes are 0 to 2 percent. This component is on flats on till plains. The parent material consists of till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is frequently ponded. A seasonal zone of water saturation is at 3 inches during January, February, March, April, May, June, July, November. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   ",17960876,17940540
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The darker colored surface layer soil is a minor component.,17960875,17940539
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961224,17940888
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Cardington soil is a minor component.,17961220,17940884
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Bennington component makes up 85 percent of the map unit. Slopes are 2 to 6 percent. This component is on ground moraines on till plains. The parent material consists of Wisconsin loamy till derived from sandstone and shale. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 9 inches during January, February, March, April, May, November, December. Organic matter content in the surface horizon is about 3 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   ",17961219,17940883
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Pewamo soil is a minor component.,17961218,17940882
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Bennington soil is a minor component.,17961209,17940873
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Condit soil is a minor component.,17961210,17940874
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Cardington, eroded component makes up 85 percent of the map unit. Slopes are 6 to 12 percent. This component is on end moraines on till plains. The parent material consists of Wisconsin loamy till derived from limestone, sandstone, and shale. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April, November, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 15 percent.  ",17961211,17940875
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Alexandria soil is a minor component.,17961212,17940876
