texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,52474915,105019908
SIC,No ,No ,Silty clay,52474915,105019909
CL,No ,No ,Clay loam,52474915,105019910
SIL,No ,Yes,Silt loam,52474916,105019911
SICL,No ,Yes,Silty clay loam,52474917,105019912
SIC,No ,No ,Silty clay,52474917,105019913
CL,No ,No ,Clay loam,52474917,105019914
CL,No ,Yes,Clay loam,52474918,105019915
SICL,No ,No ,Silty clay loam,52474918,105019916
SIL,No ,No ,Silt loam,52474918,105019917
SICL,No ,Yes,Silty clay loam,52474919,105019918
CL,No ,No ,Clay loam,52474919,105019919
SIC,No ,No ,Silty clay,52474919,105019920
CL,No ,Yes,Clay loam,52474920,105019921
SICL,No ,No ,Silty clay loam,52474920,105019922
L,No ,No ,Loam,52474920,105019923
SIL,No ,No ,Silt loam,52474920,105019924
SICL,No ,Yes,Silty clay loam,52474921,105019925
CL,No ,No ,Clay loam,52474921,105019926
L,No ,No ,Loam,52474921,105019927
SIL,No ,No ,Silt loam,52474921,105019928
SIL,No ,Yes,Silt loam,52474922,105019929
