recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
02/14/2014 00:00:00,Correlation notes,combined units,,"This SDJR project data mapunit harmonized ten data mapunits linked to 37 Drummer silty clay loam, 0 to 2 percent slopes map units, two Drummer silty clay loam map units, and one Drummer silt loam map unit. Those map units and data mapunits were correlated primarily in MLRAs 108A and 108B with some acreages occurring in MLRAs 95B, 97, 110, 111C, 111D, 113, 114B, 115A, and 115C. This SDJR Map unit is based on Site/Pedon ID S1977IL019034 (OSD pedon) with ranges updated based on the analysis of additional Drummer pedons.",183901,1958221
03/25/2014 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,183901,1958303
03/07/2014 00:00:00,Correlation notes,built or copied from,,"The Elburn component of this data mapunit was copied from DMU Description 0198A Elburn sil, 0-2, IL167, DMU ID #399244. This data mapunit was created and modified as part of the SDJR Initiative.",183909,1958232
03/27/2014 00:00:00,Correlation notes,combined units,,"This SDJR project data mapunit harmonized seven data mapunits linked to 29 Elburn silt loam, 0 to 2 percent slopes map units and one Elburn silt loam map unit. Those map units and data mapunits were correlated primarily in MLRAs 108A and 108B with additional acreages occurring in MLRAs 95B, 110, and 115C. Also small acreages of those map units extended into MLRAs 113, 114B, and 115A. However with the future refinement of MLRA boundary lines, these acreages will be included within MLRA 108A. The SDJR map unit is based on Site/Pedon ID 1985IL021002 with ranges updated based on the analysis of additional Elburn pedons.",183909,1958233
04/01/2014 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,183909,1958309
07/01/2015 00:00:00,Correlation notes,built or copied from,,"The Peotone component of this data mapunit was copied from DMU Description 0330A Peotone sicl, 0-2%, IL053, OSD; DMU ID# 142605.  This data mapunit was created and modified as part of the SDJR Initiative.",183920,1958252
07/01/2015 00:00:00,Correlation notes,combined units,,"This SDJR project data mapunit harmonized four data mapunits linked to 28 Peotone silty clay loam, 0 to 2 percent slopes map units and two data mapunits linked to two Peotone silty clay loam map units. Those six data mapunits and 30 map units were correlated primarily in MLRAs 110, 108A, and 95B with varying degrees of overlap in MLRAs 97, 98, 108B, 113, 114B, 115A, and 115C. The Peotone component of the SDJR data mapunit is based on Site/Pedon ID 1983IL053021 with ranges updated based on the analysis of additional Peotone pedons.",183920,1958253
07/14/2015 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,183920,1958317
10/23/2007 00:00:00,Correlation notes,,,"Approved 8/96. Previously correlated as Octagon, 656B and Saybrook, 145B. Field work and lab data determined that the clay content in the lower part of the series control section averages less than 20 percent for the Saybrook soils and that the till came in deeper for the Octagon soils. TUD is the OSD pedon from DeKalb County (95IL-037-004) and DMU (153,073).",183927,1958175
,Correlation notes,representative,series phase,,183927,1958263
04/21/2009 00:00:00,Correlation notes,linked,,Changed Winnebago linked dmu from 151086 to 150093. JH 4/16/2009,183927,1958264
01/31/2019 00:00:00,Correlation notes,built or copied from,,"This data mapunit was copied from DMU Description 0059A Lisbon sil, 0-2%, Il007, OSD, IL007, MLRA 95B; DMU ID 153064.  It was created and modified to unify all existing Lisbon silt loam, 0 to 2 percent slopes DMUs into one, as part of the map unit assessment process.",183929,1958204
10/24/2007 00:00:00,Correlation notes,,,"Approved 8/98. Previously correlated as Plano, 199B mapped along major streams and on outwash plains. Field work determined that the classification was Oxyaquic rather than Typic. Map unit pedon is from Champaign County (77IL-019-015) and DMU (408,525).",183947,1958191
10/07/1999 00:00:00,Correlation notes,built or copied from,,"This data mapunit represents 679B Blackberry silt loam, 2 to 5 percent slopes in MLRA 108 in Illinois. The data mapunit was copied from Champaign County and updated. Pedon # 77IL-019-015. TJE 10/7/1999",183947,1958284
