texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51075347,102066438
SICL,No ,Yes,Silty clay loam,51074973,102065766
SICL,No ,Yes,Silty clay loam,51074974,102065767
SIL,No ,No ,Silt loam,51074974,102065768
L,No ,Yes,Loam,51074975,102065769
SL,No ,No ,Sandy loam,51074975,102065770
CL,No ,No ,Clay loam,51074975,102065771
SR- LS SICL,Yes,Yes,Stratified loamy sand to silty clay loam,51074976,102065772
SIL,No ,Yes,Silt loam,51074977,102065773
SICL,No ,Yes,Silty clay loam,51074978,102065774
SIL,No ,No ,Silt loam,51074978,102065775
SIL,No ,No ,Silt loam,51074979,102065776
GR-CL,No ,Yes,Gravelly clay loam,51074979,102065777
SL,No ,No ,Sandy loam,51074979,102065778
SR- LS GR-CL,Yes,Yes,Stratified loamy sand to gravelly clay loam,51074980,102065779
