monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477640
6,June,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477641
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477642
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483836,183477643
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477644
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477645
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,183477646
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477647
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477648
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477649
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477650
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483837,183477651
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477652
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477653
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477654
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477655
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477656
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477657
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,183477658
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483838,183477659
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477660
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477661
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483838,183477662
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477663
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483838,183477664
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477665
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483838,183477666
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477667
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477668
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483838,183477669
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483838,183477670
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483943,183478859
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483943,183478860
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483943,183478861
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483943,183478862
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483943,183478863
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478864
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478865
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478866
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478867
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478868
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478869
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483943,183478870
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478871
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478872
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478873
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478874
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478875
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478876
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478877
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478878
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483944,183478879
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478880
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478881
6,June,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483944,183478882
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478883
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478884
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483945,183478885
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478886
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478887
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483945,183478888
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478889
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478890
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483945,183478891
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483945,183478892
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483945,183478893
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483945,183478894
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477671
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477672
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477673
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483839,183477674
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483839,183477675
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477676
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477677
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483839,183477678
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483839,183477679
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477680
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483839,183477681
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483839,183477682
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477683
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483840,183477684
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477685
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477686
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483840,183477687
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483840,183477688
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477689
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477690
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483840,183477691
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477692
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483840,183477693
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483840,183477694
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477695
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477696
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477697
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477698
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477699
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477700
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477701
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477702
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477703
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477704
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477705
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483841,183477706
2,February,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478643
6,June,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478644
4,April,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478645
3,March,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478646
1,January,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478647
7,July,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478648
5,May,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478649
12,December,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,17483924,183478650
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483924,183478651
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483924,183478652
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483924,183478653
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483924,183478654
6,June,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478655
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478656
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478657
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478658
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478659
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483925,183478660
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478661
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478662
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478663
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478664
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478665
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483925,183478666
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483911,183478499
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478500
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478501
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483911,183478502
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483911,183478503
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478504
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478505
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483911,183478506
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483911,183478507
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478508
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478509
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483911,183478510
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478511
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483912,183478512
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483912,183478513
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483912,183478514
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483912,183478515
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483912,183478516
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478517
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478518
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478519
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478520
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478521
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483912,183478522
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478523
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478524
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478525
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478526
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478527
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478528
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478529
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478530
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478531
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478532
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478533
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483913,183478534
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484004,183479591
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484004,183479592
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484004,183479593
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484004,183479594
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484004,183479595
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479596
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479597
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479598
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479599
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479600
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479601
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484004,183479602
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479603
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479604
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479605
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479606
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479607
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479608
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479609
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479610
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479611
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479612
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479613
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484005,183479614
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484006,183479615
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484006,183479616
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484006,183479617
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484006,183479618
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484006,183479619
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479620
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479621
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479622
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479623
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479624
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479625
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484006,183479626
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484007,183479627
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484007,183479628
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484007,183479629
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484007,183479630
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17484007,183479631
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479632
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479633
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479634
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479635
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479636
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479637
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484007,183479638
4,April,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483905,183478439
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478440
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478441
2,February,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483905,183478442
1,January,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483905,183478443
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478444
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478445
3,March,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483905,183478446
5,May,None,,Frequent,Brief (2 to 7 days),0,7,15,NA,NA,NA,NA,NA,NA,17483905,183478447
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478448
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478449
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483905,183478450
4,April,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478451
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478452
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478453
2,February,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478454
1,January,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478455
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478456
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478457
3,March,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478458
5,May,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478459
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478460
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478461
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483906,183478462
